year;numcol;yieldpercol;totalprod;stocks;priceperlb;prodvalue
1998;53000;65;3445000;1688000;0.59;2033000
1999;52000;89;4628000;2592000;0.53;2453000
2000;52000;93;4836000;3337000;0.57;2757000
2001;50000;98;4900000;1617000;0.65;3185000
2002;45000;88;3960000;871000;1.26;4990000
2003;40000;75;3000000;810000;1.26;3780000
2004;40000;57;2280000;388000;0.87;1984000
2005;36000;69;2484000;571000;0.97;2409000
2006;32000;76;2432000;730000;0.89;2164000
2007;28000;80;2240000;672000;0.95;2128000
2008;28000;75;2100000;525000;1.35;2835000
2009;24000;57;1368000;301000;1.42;1943000
2010;25000;60;1500000;360000;1.47;2205000
2011;22000;64;1408000;239000;1.62;2281000
2012;25000;63;1575000;189000;1.98;3119000
